序号,中文名,英文名,头衔,所属组织,核心影响力
88,凯西·霍赫尔,Kathy Hochul,州长,纽约州 (D),霍赫尔在财政压力下管理纽约州，她必须在保护华尔街（纽约的经济引擎）和满足进步派（要求租客保护和富人税）之间寻求平衡。她是纽约州堕胎权和控枪法律的坚定捍卫者 158。
89,JB·普利兹克,JB Pritzker,州长,伊利诺伊州 (D),普利兹克利用其亿万身家和州长职位，将伊利诺伊州建设为中西部的自由派堡垒。他是民主党基础设施的主要资助者和战略家，积极推动生殖权利和枪支管制 157。
90,佐兰·曼达尼,Zohran Mamdani,市长,纽约市 (D),曼达尼于2026年1月1日就职，是纽约市首位穆斯林和南亚裔市长，也是民主社会主义者的代表。他的当选标志着极左翼在城市政治中的胜利。他推行激进的住房改革和公交免费政策，与华尔街和奥尔巴尼（州政府）甚至民主党温和派经常发生冲突 160。
91,凯伦·巴斯,Karen Bass,市长,洛杉矶市 (D),巴斯正忙于解决严重的无家可归危机，并为2028年奥运会做准备。在联邦资金可能因“庇护城市”政策被削减的威胁下，她试图通过与其他市长结盟来寻找地方治理的出路 164。
92,布兰登·约翰逊,Brandon Johnson,市长,芝加哥市 (D),约翰逊在芝加哥推行进步派议程，重点关注警察改革和社会投资。他面临着严峻的治安挑战和预算赤字，同时还要应对来自教师工会基层的压力 166。
93,罗恩·德桑蒂斯,Ron DeSantis,州长,佛罗里达州 (R),尽管任期受限，德桑蒂斯继续将佛罗里达作为“反觉醒”治理的实验室。他签署了大量针对教育、企业DEI和非法移民的州级法律，为全国保守派州长提供了立法的模板 155。
94,格雷格·阿博特,Greg Abbott,州长,得克萨斯州 (R),阿博特建立了可与联邦匹敌的州级边境执法力量。他正寻求史无前例的第四个任期，利用得州的经济实力吸引企业从蓝州迁入，并在法庭上不断挑战联邦政府的过度监管 169。
95,莎拉·赫卡比·桑德斯,Sarah Huckabee Sanders,州长,阿肯色州 (R),桑德斯通过实施激进的教育券改革和减税政策提升了全国知名度。作为前白宫新闻秘书，她是特朗普政府在州级层面的坚定盟友和政策执行者 155。
96,布莱恩·坎普,Brian Kemp,州长,佐治亚州 (R),坎普代表了共和党内亲商、非MAGA的一翼。他在摇摆州佐治亚维持了强劲的经济增长，证明了传统保守主义在后特朗普时代依然具有生命力 155。
97,格伦·杨金,Glenn Youngkin,州长（至2026年1月）,弗吉尼亚州 (R),在2026年1月卸任前，杨金代表了试图结合郊区温和派形象与保守派政策的尝试。他的政治遗产将影响2025年弗吉尼亚州长选举的结果（阿比盖尔·斯潘伯格或温斯ome·厄尔-西尔斯接任），该选举被视为全国政治风向标 155。
98,约翰·惠特迈尔,John Whitmire,市长,休斯敦市 (D),作为世界能源之都的市长，惠特迈尔是务实的中间派民主党人。他需要在石油行业的利益与城市民主党选民的环保诉求之间保持平衡 173。
99,弗朗西斯·苏亚雷斯,Francis Suarez,市长,迈阿密市 (R),苏亚雷斯继续将迈阿密打造为加密货币和科技中心，这与特朗普政府放松数字资产监管的政策高度契合。他代表了共和党城市治理的未来方向 173。
100,马蒂·帕克,Mattie Parker,市长,沃思堡市 (R),帕克领导着美国增长最快的大城市之一。她代表了年轻一代的实用主义共和党市长，专注于经济增长和家庭政策，而非文化战争 173。
