id,name,ChineseName,dateOfBirth,gender,currentRole,organization,party,education,careerHistory,bio,sources,slug
052,Jensen Huang,黄仁勋,1963-02-17,男,首席执行官,030,,1984年获得俄勒冈州立大学理学学士学位，1992年获得斯坦福大学电气工程理学硕士学位。,大学毕业后，他曾在超威半导体公司（AMD）担任微芯片设计师。随后离开AMD，加入LSI Logic公司担任技术主管，后晋升为该公司CoreWare部门总监。1993年，他联合创立英伟达（Nvidia）公司，并自创立起一直担任公司总裁兼首席执行官。,"黄仁勋（Jen-Hsun Huang，常用英文名Jensen Huang），美籍台裔企业家、电气工程师及慈善家。1963年2月17日出生于台湾台北市，幼年迁居台南。父亲黄兴泰为化学工程师，母亲罗采秀为教师。五岁时随家庭移居泰国，就读于曼谷的Ruamrudee国际学校。九岁时与兄长被送往美国，最初寄居华盛顿州塔科马市的舅舅家。因信息误差，兄弟二人被误送至肯塔基州的宗教改革学校Oneida Baptist Institute，黄仁勋在此就读Oneida小学。两年后父母移居俄勒冈州比弗顿市，他进入当地Aloha高中学习，16岁毕业。1978年至1983年间曾在Denny's餐厅工作。1984年获俄勒冈州立大学电气工程学士学位，1992年于斯坦福大学获电气工程硕士学位，期间在硅谷工作。

黄仁勋职业生涯始于超威半导体公司（AMD）的微芯片设计师，后转至LSI Logic担任技术主管，负责与太阳计算机系统公司的合作项目。其间他与工程师Chris Malachowsky、Curtis Priem共同开发了GX图形引擎，该产品成为成功的图形加速卡。此后他晋升为LSI公司CoreWare部门总监。

1993年，黄仁勋与Malachowsky、Priem在圣何塞东部的Denny's餐厅会晤期间构思并共同创立英伟达公司。他于1993年4月5日签署公司章程，自公司运营首日起即担任总裁兼首席执行官，并从红杉资本创始人唐·瓦伦丁等风险投资人处获得初始资金。自创立至今，他始终担任总裁兼CEO，带领公司从1990年代濒临破产发展为GPU制造、高性能计算及人工智能领域的领导者。在其领导下，英伟达在人工智能浪潮中实现爆发式增长，于2025年10月成为全球市值最高企业，亦是首家市值突破5万亿美元的公司。截至2026年1月，《福布斯》估算其净资产达1641亿美元。

黄仁勋屡获殊荣：《时代》杂志于2021年及2024年将其列入“全球百大最具影响力人物”，2025年更在“年度风云人物”评选中授予其“人工智能建筑师”称号。他于1985年与妻子Lori Huang结婚。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Jensen_Huang"", ""reliability"": ""high""}]",jensen-huang
053,Tim Cook,蒂姆·库克,1960-11-01,男,首席执行官,006,,1982年毕业于奥本大学，获工业工程理学学士学位；1988年毕业于杜克大学，获工商管理硕士学位。,1982年毕业后，库克在IBM个人电脑业务部门工作了十二年，最终担任北美履约总监。随后他出任Intelligent Electronics电脑经销商部门首席运营官，并于1997年担任康柏公司企业物料副总裁。1998年3月他加入苹果公司，担任全球运营高级副总裁，后历任全球销售与运营副总裁、首席运营官。2011年8月24日被任命为苹果公司首席执行官。在苹果公司之外，他自2005年起担任耐克公司董事会成员。,,"[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Tim_Cook"", ""reliability"": ""high""}]",tim-cook
054,Satya Nadella,萨提亚·纳德拉,1967-08-19,男,董事长兼首席执行官,026,,1988年毕业于曼尼帕尔理工学院，获电气工程学士学位；1990年毕业于威斯康星大学密尔沃基分校，获计算机科学硕士学位；1997年毕业于芝加哥大学布斯商学院，获工商管理硕士学位。,"曾在Sun Microsystems担任技术团队成员（1992年前）。  
于1992年加入Microsoft。  
曾任Microsoft云与企业集团执行副总裁。  
2014年接替史蒂夫·鲍尔默出任Microsoft首席执行官（CEO）。  
2021年接替约翰·W·汤普森担任Microsoft董事长。","萨提亚·纳德拉（1967年8月19日出生）是一位印度裔美国商业高管，现任微软公司董事长兼首席执行官。他于2014年接替史蒂夫·鲍尔默出任微软CEO，并于2021年接替约翰·W·汤普森担任董事长。在担任CEO之前，他曾任微软云与企业集团执行副总裁，负责公司的计算平台业务。

纳德拉出生于印度海得拉巴的一个泰卢固语印度教家庭。父亲布卡普拉姆·纳德拉·尤甘达尔是印度行政服务官员，母亲普拉巴瓦蒂是梵语讲师。他曾就读于海得拉巴公立学校（贝古姆佩特校区），1988年在曼尼帕尔理工学院获得电气工程学士学位，随后赴美深造，1990年获得威斯康星大学密尔沃基分校计算机科学硕士学位，1997年获得芝加哥大学布斯商学院工商管理硕士学位。

纳德拉的职业起步于太阳计算机系统公司，担任技术团队成员。他于1992年加入微软。除微软职务外，他还曾担任多家机构董事会成员，包括星巴克董事会（2017-2024年）、弗雷德·哈钦森癌症中心理事会以及芝加哥大学理事会。2021年至2022年间，他担任美国商业理事会主席。

纳德拉获得过多项重要荣誉：2018年与2024年入选《时代》百大人物，2019年同时获评《金融时报》年度人物与《财富》杂志年度商业人物。2014年获CNN-News18印度年度人物奖，2020年在CNBC-TV18印度商业领袖奖评选中获评全球印度商业偶像。印度政府于2015年授予其海外印度人奖，2022年颁发第三级公民荣誉奖莲花装勋章。2024年，佐治亚理工学院授予其荣誉博士学位。

纳德拉于1992年与阿努帕玛·普里亚达希尼结婚，育有三名子女（一子早逝，两女健在），现定居华盛顿州克莱德山与贝尔维尤。其子扎因患有脑瘫，为法定盲人兼四肢瘫痪患者，于2022年2月离世，终年26岁。纳德拉热衷阅读美印诗歌，喜爱板球运动并曾效力校队。他与妻子共同持有美国职业足球大联盟西雅图海湾人足球俱乐部的股份。2017年，他出版了著作《刷新：重新发现商业与未来》。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Satya_Nadella"", ""reliability"": ""high""}]",satya-nadella
055,Sundar Pichai,桑达尔·皮查伊,1972-06-10,男,首席执行官,002,,在印度理工学院卡拉格普尔分校获得冶金工程学士学位，在斯坦福大学获得材料科学与工程硕士学位，在宾夕法尼亚大学沃顿商学院获得工商管理硕士学位。,职业生涯始于材料工程师。曾在应用材料公司从事工程与产品管理工作，并在麦肯锡公司担任管理咨询顾问。2004年加入谷歌，先后主导Chrome、ChromeOS及Google Drive的产品管理工作，后分管Gmail与Google Maps。2015年8月10日被任命为谷歌首席执行官，同年10月24日正式就任。2019年12月起担任Alphabet公司首席执行官。,"桑达尔·皮查伊（Sundar Pichai），本名桑达拉拉詹·皮查伊（Sundararajan Pichai），1972年6月10日出生于印度泰米尔纳德邦马杜赖，印度裔美国商业高管。他自2015年起担任Alphabet公司及其子公司谷歌的首席执行官。皮查伊在钦奈完成中学教育，于印度理工学院卡拉格普尔分校获得冶金工程学士学位，后取得斯坦福大学材料科学与工程硕士学位以及宾夕法尼亚大学沃顿商学院工商管理硕士学位。

皮查伊的职业生涯始于材料工程师，曾先后在应用材料公司担任产品管理职务，在麦肯锡公司从事管理咨询工作。他于2004年加入谷歌，负责领导谷歌系列客户端软件产品的管理与创新工作，主导开发了谷歌Chrome浏览器、ChromeOS操作系统及谷歌云端硬盘，后期还监管Gmail、谷歌地图等应用程序的开发。2013年3月13日起，其职责范围扩展至安卓系统。

2015年8月10日，经时任首席执行官拉里·佩奇任命为首席产品官后，皮查伊被选定为谷歌下一任首席执行官。随着谷歌重组为Alphabet控股公司，他于2015年10月24日正式就任该职，并于2017年进入Alphabet董事会。2019年12月，皮查伊出任Alphabet首席执行官，2022年其薪酬总额突破2亿美元。

皮查伊任期内经历多项重要事件：2017年8月，他因解雇撰写备忘录批评公司多元化政策的员工引发公众关注；2018年12月11日，就潜在政治偏见、在华推出搜索应用计划及隐私保护等问题接受美国众议院司法委员会质询；2024年4月，在员工因抗议""尼姆布斯计划""遭解雇后，皮查伊声明办公场所不应成为争论破坏性议题或政治辩论的场所。

皮查伊屡获殊荣：2016年与2020年两度入选《时代》周刊全球百大最具影响力人物，2024年入选《时代》百大人工智能人物榜单；2021年获亚洲协会授予""亚洲变革者奖""；2022年获印度政府颁发印度第三级公民荣誉奖莲花士勋章（贸易与工业领域）。截至2025年5月，其净资产估值达11亿美元。

个人生活方面，皮查伊与在印度理工学院求学时相识的安贾莉·皮查伊（本姓哈里亚尼）结婚并育有两子。业余爱好包括板球与足球，现居加利福尼亚州洛斯阿尔托斯山。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Sundar_Pichai"", ""reliability"": ""high""}]",sundar-pichai
056,Mark Zuckerberg,马克·扎克伯格,1984-05-14,男,首席执行官,025,,曾短暂就读于哈佛学院，主修心理学与计算机科学，大二时辍学。此前曾就读于菲利普斯埃克塞特学院。,"2004年2月在哈佛大学就读期间共同创立Facebook（后更名为Meta Platforms）。  
大二时从哈佛辍学以专注公司发展。  
2008年成为全球最年轻白手起家亿万富翁。  
2012年5月带领Facebook上市。  
现任Meta Platforms董事长兼首席执行官，并担任陈·扎克伯格倡议的共同创始人兼联合首席执行官。","马克·艾略特·扎克伯格（生于1984年5月14日）是美国企业家与程序员。他是社交媒体服务Facebook母公司Meta Platforms的联合创始人、董事长兼首席执行官，同时也是该社交平台的联合创始人。扎克伯格还联合创立并担任陈·扎克伯格倡议的联席首席执行官。他曾短暂就读于哈佛学院，并于2004年2月与室友爱德华多·萨维林、安德鲁·麦科勒姆、达斯汀·莫斯科维茨和克里斯·休斯共同推出Facebook。大二时他选择辍学以全力投入公司运营。2012年5月，扎克伯格推动Facebook上市，并始终保持多数股权。2008年，23岁的他成为全球最年轻的白手起家亿万富翁，并持续位列世界顶级富豪行列，截至2025年12月其净资产估计达2200亿美元。其早期职业生涯、法律纠纷与初始成就在2010年斩获多项奥斯卡奖的电影《社交网络》中得以呈现。

扎克伯格的社会影响力引发了广泛的政治与法律关注。他因Facebook的创立权、所有权问题及用户隐私争议多次成为诉讼对象。2012年，他在莫斯科会见时任俄罗斯总理德米特里·梅德韦杰夫，探讨推动俄罗斯社交媒体创新及提升Facebook在当地市场地位等议题。他还曾接待来访的中国政治家鲁炜。扎克伯格运用个人资金组织大规模捐赠活动，包括创立陈·扎克伯格倡议。2007年，他被列入《麻省理工科技评论》TR35榜单，获评35岁以下顶尖创新者之一。《名利场》杂志在2010年将其列为信息时代最具影响力人物榜首。在2013年TechCrunch Disrupt大会上，他阐述了旨在提升全球网络覆盖的Internet.org项目。2014年世界移动通信大会上，他作为主旨演讲者强调了移动技术对Facebook未来发展的重要性。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Mark_Zuckerberg"", ""reliability"": ""high""}]",mark-zuckerberg
057,Andy Jassy,安迪·贾西,1968-01-13,男,总裁兼首席执行官,003,,以优异成绩毕业于哈佛学院政府学专业，后获得哈佛商学院工商管理硕士学位。,"1997年以营销经理身份加入亚马逊。  
2003年至2021年担任亚马逊网络服务高级副总裁兼首席执行官。  
2021年7月晋升为亚马逊总裁兼首席执行官。","安迪·贾西（Andrew R. Jassy，1968年1月13日出生）是一位美国商业高管，自2021年7月起担任亚马逊公司总裁兼首席执行官，接替创始人杰夫·贝索斯。2003年至2021年间，他曾任亚马逊云科技（Amazon Web Services，AWS）高级副总裁兼首席执行官。

贾西出生于纽约州斯卡斯代尔，父母为玛格丽与埃弗里特·L·贾西，家族具有匈牙利犹太血统。其父曾任杜威·鲍伦丁律师事务所高级合伙人。贾西就读于斯卡斯代尔高中，期间入选校足球队与网球队。他以优异成绩毕业于哈佛大学政府学专业，曾任《哈佛深红报》广告经理，后获哈佛商学院工商管理硕士学位。

毕业后，贾西先后在收藏品公司MBI担任项目经理、与人联合创办短期企业，于1997年以营销经理身份加入亚马逊。2003年，他与杰夫·贝索斯共同构思了云计算平台亚马逊云科技（AWS），该平台于2006年正式推出。贾西领导了最初由57人组成的AWS团队，2016年升任AWS首席执行官。2017年当选美国艺术与科学院院士，2018年至2021年担任美国国家安全人工智能委员会成员。

2021年出任亚马逊首席执行官时，贾西获得了价值2.127亿美元的长期薪酬组合（主要为股票）。截至2024年，他持续强调亚马逊对人工智能的战略聚焦，计划向AWS与生成式AI投入重大资本支出。2025年入选《时代》杂志“TIME100 AI”榜单，并当选美国国家工程院院士。此外，他曾在2016年被《金融时报》评为年度人物。

贾西于1997年与时装设计师埃琳娜·罗谢尔·卡普兰结婚，育有两名子女，现居西雅图国会山社区。他兼任西雅图特许学校雷尼尔预科学校董事会主席，并为美国商业委员会成员。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Andy_Jassy"", ""reliability"": ""high""}]",andy-jassy
058,Sam Altman,山姆·奥特曼,1985-04-22,男,首席执行官,032,,曾在斯坦福大学攻读计算机科学两年，于2005年辍学，未获得学位。,"2005年：联合创立Loopt并担任首席执行官。  
2011年：成为Y Combinator合伙人。  
2014-2019年：担任Y Combinator（后更名为YC Group）总裁。  
2019年至今：担任OpenAI首席执行官（2023年11月曾短暂离职并复职）。  
同期兼任Helion Energy及Oklo公司董事长（2025年4月卸任Oklo职务）。","塞缪尔·哈里斯·阿尔特曼（生于1985年4月22日）是美国企业家。他自2019年起担任人工智能研究机构OpenAI的首席执行官，因主导2022年ChatGPT的成功发布，被广泛视为人工智能浪潮的核心人物。2025年，他被《时代》周刊评为年度人物中的“人工智能架构师”。

阿尔特曼出生于伊利诺伊州芝加哥的一个犹太家庭，在密苏里州克莱顿长大。八岁时获得第一台电脑，曾就读约翰·伯勒斯学校。2005年从斯坦福大学计算机科学专业辍学前，他在该校学习两年。

他的商业生涯始于2005年，当时联合创立基于位置的社交应用Loopt并担任首席执行官，筹集超过3000万美元风险投资。该公司于2012年被收购。2011年，阿尔特曼加入创业加速器Y Combinator（YC），2014年成为其总裁，2016年出任YC集团总裁。他致力于拓展YC对“硬科技”初创企业的投资范围，与YC的合作关系于2020年初终止。

作为投资者，阿尔特曼于2012年联合创立Hydrazine Capital，其投资组合涵盖400多家公司。他现任核聚变公司Helion Energy董事会主席，曾担任清洁能源公司Oklo Inc.董事会主席，直至2025年4月为避免与OpenAI潜在利益冲突而卸任。

他在OpenAI的任期充满波折。2023年11月，OpenAI董事会以“缺乏坦诚沟通”为由解除其CEO职务，引发员工与投资者的强烈反弹。经过五天谈判，在员工集体跳槽微软的威胁下，阿尔特曼最终携新董事会回归复职。

政治方面，阿尔特曼曾考虑在2018年竞选加州州长但最终放弃。同年他宣布启动聚焦住房与医疗政策的“联合纲领”政治项目。他曾为杨安泽等民主党候选人举办筹款活动，并向支持乔·拜登的超级政治行动委员会捐款。其政策主张包括土地价值税与全民基本收入。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Sam_Altman"", ""reliability"": ""high""}]",sam-altman
059,Darren Woods,达伦·伍兹,1965-12-16,男,董事长兼首席执行官,018,,他于德克萨斯农工大学获得电气工程学士学位，随后在西北大学凯洛格管理学院取得工商管理硕士学位。,1992年加入埃克森公司。在出任首席执行官前，曾主管埃克森美孚的炼油与化工部门。2017年1月起担任埃克森美孚首席执行官兼董事长。,"达伦·韦恩·伍兹（生于1965年12月16日）是一位美国商人，自2017年1月起担任埃克森美孚公司董事长兼首席执行官。他出生于堪萨斯州威奇托市，因父亲工作缘故，青少年时期多居住于全球各地的美军基地附近。伍兹在德克萨斯农工大学获得电气工程学士学位，并于西北大学凯洛格管理学院取得工商管理硕士学位。

伍兹于1992年加入埃克森公司。在为该公司工作24年后，随着雷克斯·蒂勒森被提名为美国国务卿，他接任首席执行官一职。在担任首席执行官之前，伍兹曾主管公司的炼油与化工部门，该部门在2016年为埃克森美孚贡献了大部分净利润。与专注于交易和勘探业务的前任不同，伍兹是石油行业炼化领域的资深专家。

出任首席执行官后，伍兹制定了聚焦于二叠纪盆地和巴肯页岩区钻探业务的增长计划。他公开支持《巴黎协定》，并于2017年敦促特朗普总统维持美国在该协定中的成员身份，主张这将有助于确保公平竞争环境。伍兹曾表示，水平钻井和水力压裂等技术已""打破了石油峰值论的迷思""。

其任职期间显著关注气候与排放议题。2020年有报道指出，根据伍兹签署的投资计划，埃克森美孚年度碳排放量将大幅增加，但公司表示内部预测已发生变化。2021年，在游说者披露其阻挠气候立法的行动后，《卫报》将其列为头号""气候恶人""。同年，他否认埃克森美孚掩盖自身气候研究，并拒绝停止针对气候倡议的游说活动。

伍兹提出了包含碳捕集与封存技术及直接空气捕集技术投资的长期战略，同时呼吁提高碳价。2024年他指出直接空气捕集技术成本仍然高昂，需降低费用以实现规模化应用。他表示若相关税收抵免政策取消，公司对碳捕集与封存及直接空气捕集技术的投资可能调整。2023年其薪酬为3100万美元，2024年增至4410万美元。伍兹是美国商业理事会成员。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Darren_Woods"", ""reliability"": ""high""}]",darren-woods
060,Mike Wirth,迈克·沃思,1960-10-15,男,董事长兼首席执行官,013,,曾就读于科罗拉多大学，于1982年获得化学工程学士学位。,"1982年：加入雪佛龙公司担任设计工程师。  
2001年：出任雪佛龙亚洲、非洲及中东地区市场营销总裁。  
后担任雪佛龙公司副董事长。  
2018年：成为雪佛龙公司董事长兼首席执行官。","迈克尔·K·沃斯（生于1960年10月15日）是一位美国商业领袖。他自2018年起担任雪佛龙公司董事长兼首席执行官，此前曾担任该公司副董事长。沃斯于1982年获得科罗拉多大学化学工程学士学位，在校期间曾参与美式足球与篮球运动。他于1982年以设计工程师身份加入雪佛龙，先后在工程、建设和运营等多个部门任职。2001年，他出任雪佛龙亚洲、非洲及中东地区营销总裁。他曾担任加德士澳大利亚公司和GS加德士公司的董事会成员。2018年，沃斯接替约翰·S·沃森成为雪佛龙首席执行官。他同时担任石油行业贸易组织美国石油协会的董事会成员。

在其领导下，雪佛龙被列为全球私营企业中碳封存总量最高的公司之一。然而，该公司亦涉及多项""漂绿""行为，联邦贸易委员会认定其就减排努力对消费者存在误导性陈述。针对投资替代能源的质询，沃斯表示雪佛龙更倾向于向股东返还资金以供其投向其他领域。2025年11月，他出席了白宫为沙特王储穆罕默德·本·萨勒曼举办的晚宴。

个人生活方面，沃斯与妻子育有四名成年子女。2024年，随着雪佛龙企业总部从加利福尼亚州迁至得克萨斯州，他移居休斯敦。他保持着晚上10点就寝、凌晨3点45分起床进行90分钟健身训练的生活规律。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Mike_Wirth"", ""reliability"": ""high""}]",mike-wirth
061,John Furner,约翰·弗纳,1974-01-01,男,总裁兼首席执行官,049,,1996年毕业于阿肯色大学费耶特维尔分校的山姆·M·沃尔顿商学院，主修市场营销管理。,1993年：以小时工门店员工身份在沃尔玛开启职业生涯，后历任门店经理、区域经理及采购员。曾担任沃尔玛中国商品与市场营销执行副总裁近三年。2017年2月1日：出任山姆会员店首席执行官。2019年11月：就任沃尔玛美国总裁兼首席执行官。,"约翰·弗纳（生于1974年）是一位美国商业高管。他出生于阿肯色州杰克逊维尔市。弗纳曾就读于费耶特维尔市的阿肯色大学，主修市场营销管理，并于1996年毕业于该校的山姆·沃尔顿商学院。

弗纳于1993年以小时工门店员工的身份开启其在沃尔玛的职业生涯。他在公司内逐步晋升，曾担任门店经理、区域经理及采购员等职务。其后他的职业版图拓展至沃尔玛国际业务领域，曾在中国担任近三年的沃尔玛中国执行副总裁，负责商品与市场营销工作。返回美国后，他先出任山姆会员店首席商品官，后于2017年2月1日被任命为该业务总裁兼首席执行官。

在执掌山姆会员店期间，弗纳实施了一系列战略变革以提升该业务的竞争力。这包括为更好地抗衡竞争对手好市多而关闭63家门店，《华尔街日报》在报道这一举措时亦提及该业务销售额的增长。凭借其在中国市场的经验，他着力推动山姆会员店仓储式卖场的科技化升级，并精准定位会员制仓储俱乐部的目标客群。同时，他高度重视发展山姆会员店的自有品牌业务。

2019年11月，弗纳被任命为沃尔玛美国业务总裁兼首席执行官，该业务是沃尔玛集团规模最大的运营板块。据公告显示，他将于2026年初接替董明伦出任沃尔玛公司首席执行官。

除企业职务外，弗纳还在行业组织与慈善机构担任领导职务。他现任全美零售联合会董事会主席，2020年曾担任荣誉勋章基金会董事会成员。在个人生活方面，弗纳已婚并育有四名子女。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/John_Furner"", ""reliability"": ""high""}]",john-furner
062,David Joyner,大卫·乔伊纳,,男,总裁兼首席执行官,,,毕业于印第安纳州印第安纳波利斯市ITT技术学院，获电子工程技术理学学士学位。,"德州仪器软件分析师（六年）。  
在《巴尼与后院帮》及《巴尼与朋友》中饰演巴尼的实体表演者（1991-2001年，2005年前偶有客串，2008年短暂回归）。  
在《嘻哈哈里》中饰演主角哈里。  
从事密宗按摩治疗师工作。","戴维·尤金·乔伊纳是美国演员兼治疗师。他最为人熟知的是在1991年至2001年间，于儿童电视系列节目《巴尼与朋友们》及其前身《巴尼与后院小分队》中，以真人扮演恐龙巴尼一角。该角色在此期间的声音由鲍勃·韦斯特、邓肯·布兰农和蒂姆·德弗提供。乔伊纳后来还饰演了《嘻哈哈里》中的同名主角。

乔伊纳曾就读于麦克阿瑟高中，并于印第安纳州印第安纳波利斯的ITT技术学院获得电子工程技术理学学士学位。在开启演艺生涯前，他曾在德州仪器担任软件分析师六年。

乔伊纳于1991年首次参加巴尼角色的试镜，接替了原服装演员戴维·沃斯。他最初被选为替补演员，但因原定女演员难以长时间穿戴服装而转为主演。他首次在《巴尼与后院小分队》的两部家庭录像中扮演巴尼，并随后在《巴尼与朋友们》的前六季剧集及现场演出中持续出演。第四季后，他离开剧组拍摄《巴尼的奇幻冒险》，期间由乔什·马丁和莫里斯·斯科特临时接替。1997年，乔伊纳在《巴尼太空历险》中回归扮演巴尼。尽管此后他离开了系列剧，但仍以该角色不定期亮相至2005年，并于2008年短暂回归。最终由凯里·斯廷森接替其角色。

在演艺事业之外，戴维·乔伊纳还从事密宗按摩治疗师的工作。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/David_Joyner_(actor)"", ""reliability"": ""high""}]",david-joyner
063,Stephen Hemsley,史蒂芬·赫姆斯利,1952-06-04,男,首席执行官,048,,1974年毕业于福特汉姆大学。,职业生涯始于安达信会计师事务所，担任管理合伙人兼首席财务官。1997年加入联合健康集团，担任高级财务管理职务。1999年升任总裁兼首席运营官。2006年被任命为首席执行官。2017年卸任首席执行官，转任执行董事长。2025年5月再度出任首席执行官。,"斯蒂芬·J·亨斯利（生于1952年6月4日）是美国企业家。他于1974年毕业于福特汉姆大学。亨斯利的职业生涯始于会计师事务所安达信，曾担任管理合伙人兼首席财务官。1997年，他加入联合健康集团，初期担任高级财务职务，1999年升任总裁兼首席运营官。2006年，亨斯利接替威廉·W·麦圭尔出任联合健康集团首席执行官。在其领导下，该公司常年位列美国企业营收榜前列。2017年8月，联合健康集团宣布亨斯利在担任首席执行官十余年后将卸任，转任董事会新设的执行主席职务。2025年5月，亨斯利重返原职，再度被任命为联合健康集团首席执行官。2024年5月，亨斯利与时任联合健康保险公司首席执行官布莱恩·汤普森及另外两名高管被提起诉讼，指控其未披露美国司法部对公司的反垄断调查，并在调查公开前抛售股票期权，涉嫌欺诈和内幕交易。

薪酬方面，《商业周刊》报道亨斯利年薪为14,518,164美元；2016年其薪酬估值达3130万美元。在《福布斯》2009年首席执行官薪酬特别报告中，他位列第269名。据bizjournals.com统计，亨斯利2010年以1.0196亿美元薪酬成为全美最高薪首席执行官；2011年因其持股价值大幅增长，《福布斯》再度将其列为薪酬最高的首席执行官。2025年重返首席执行官岗位后，亨斯利获得包含三年期6000万美元股票期权及100万美元基础年薪的薪酬方案。

除企业职务外，亨斯利还兼任多个社会职务：担任明尼苏达州圣托马斯大学校董、明尼苏达公共广播电台董事，同时是美国童子军全国执行委员会成员。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Stephen_J._Hemsley"", ""reliability"": ""high""}]",stephen-hemsley
064,Mark Thompson,马克·汤普森,1994-01-01,,董事长兼首席执行官,,,,,,"[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Mark_Thompson"", ""reliability"": ""high""}]",mark-thompson
065,Suzanne Scott,苏珊·斯科特,,女,首席执行官,020,,1988年毕业于美国大学。,1996年：以节目助理身份加入福克斯新闻。2002-2005年：担任《格雷塔·范·苏斯特伦的档案》栏目副制片人、制片人及高级制片人。2005年：任网络执行制片人。2007年：任节目编排副总裁。2009年：任节目编排与开发高级副总裁。2016年：任节目编排执行副总裁。2018年：被任命为福克斯新闻及福克斯商业网络首席执行官。,"苏珊·斯科特是福克斯新闻频道与福克斯商业频道的首席执行官，她是该电视网历史上第二位CEO，也是首位女性CEO。在《福布斯》2021年全球最具影响力女性百强榜中，她位列第61名。斯科特成长于新泽西州帕西帕尼，父亲在家经营货运公司，母亲从事房地产经纪工作。她于1988年毕业于美利坚大学。

斯科特的媒体生涯始于担任CNBC频道切特·科利尔的行政助理，后于1996年随其加入初创的福克斯新闻，最初担任节目编排助理。在职业生涯中，她历任多个节目策划、制作与创意岗位要职，包括：节目执行副总裁（2016年）、节目开发高级副总裁（2009年）、节目副总裁（2007年）以及电视网执行制片人（2005年）。2002年至2005年间，她还曾担任《格蕾塔·范·苏斯特伦实录》节目的副制片人、制片人及高级制片人。斯科特主导推出了多项电视与数字媒体创新项目，其中包含2002年《格蕾塔·范·苏斯特伦实录》的黄金时段首播。

2016年创始人兼前CEO罗杰·艾尔斯离职后，斯科特与杰伊·华莱士、杰克·阿伯内西共同推动福克斯新闻在艾尔斯丑闻后实现""转型振兴""。在此期间，她担任节目总裁，主管《福克斯与朋友们》《五人谈》《汉尼提》等福克斯新闻频道评论类节目。

2018年5月17日，斯科特被任命为福克斯新闻频道与福克斯商业频道的首席执行官。拉克兰·默多克特别指出她作为电视网首位女性CEO创造了历史。在拉希达·琼斯执掌MSNBC之前，她始终是唯一领导大型电视新闻机构的女性。其晋升并非毫无争议——尽管斯科特本人未被列为被告，但公司多起性骚扰诉讼中提及她涉嫌知情不报，且涉及数项内部投诉，这些指控均遭其否认。2023年3月《卫报》报道称，她对旗下记者核查特朗普2020年大选虚假声明的行为极为震怒，称其""损害商业利益""。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Suzanne_Scott"", ""reliability"": ""high""}]",suzanne-scott
